@relation trainingSet

@attribute 159 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 162 numeric
@attribute 163 numeric
@attribute 164 numeric
@attribute 165 numeric
@attribute 166 numeric
@attribute 167 numeric
@attribute 168 numeric
@attribute 169 numeric
@attribute 170 numeric
@attribute 171 numeric
@attribute 172 numeric

@data
0.136237,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.133852,-1,110.468474,10.37946,59.949893,38.864533,0,0,0,0,0,0,0,0
0.132855,-1,113.047254,11.850861,63.598895,38.324752,0,0,0,0,1040.907866,97.428176,461.631293,408.819225
0.143468,-1,1.712672,0.120674,0.527411,0.541279,0,0,0,0,0,0,0,0
0.138165,-1,113.399866,12.277752,56.417326,37.80671,0,0,0,0,1623.321242,56.231443,579.95476,655.78087
0.136781,-1,95.367161,15.779698,63.12446,26.614983,0,0,0,0,0,0,0,0
0.139977,-1,103.08473,18.503943,68.514953,31.859047,0,0,0,0,1999.487148,84.123841,700.541332,735.036249
0.126828,-1,40.955523,6.958545,23.04761,12.511665,0,0,0,0,211.576516,71.126653,109.764102,51.373719
0.130781,-1,112.011419,2.412071,53.354212,39.61534,0,0,0,0,0,0,0,0
0.141267,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138445,-1,112.386265,19.165344,63.379241,36.794095,0,0,0,0,1801.425922,83.080359,590.04437,674.535014
0.127696,-1,109.422076,18.972522,62.506898,35.87733,0,0,0,0,0,0,0,0
0.132217,-1,107.393669,18.868783,64.698047,37.014407,0,0,0,0,0,0,0,0
0.137041,-1,-1,-1,-1,-1,0,0,0,0,1806.944786,66.097268,518.622385,612.218064
0.128768,-1,13.860665,0.29925,5.990734,4.735773,0,0,0,0,2939.461723,84.701062,634.077306,1038.927004
0.11566,-1,127.435966,9.018931,64.941482,42.357879,0,0,0,0,0,0,0,0
0.144196,-1,134.680668,19.46402,79.581868,39.348046,0,0,0,0,0,0,0,0
0.133989,-1,110.480516,12.055218,55.95357,38.290101,0,0,0,0,0,0,0,0
0.139934,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.134774,-1,197.074748,2.529147,70.014436,66.486996,0,0,0,0,0,0,0,0
0.121699,-1,105.545321,13.287455,59.074612,37.624598,0,0,0,0,388.123755,73.69111,225.159064,132.543913
0.138411,-1,105.769618,13.565204,60.439975,35.501506,0,0,0,0,397.901587,70.800713,201.183438,138.210566
0.127957,-1,-1,-1,-1,-1,0,0,0,0,1862.01576,79.044268,467.33508,629.785592
0.138591,-1,110.204979,11.853823,60.783366,38.56793,0,0,0,0,1438.132844,127.879584,519.929777,519.455274
0.14263,-1,112.274679,19.195387,68.86432,36.322055,0,0,0,0,0,0,0,0
0.138869,-1,111.28169,11.816278,61.536429,38.739963,0,0,0,0,1439.575764,53.546672,448.100909,543.935009
0.131691,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.135303,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.133457,-1,110.871718,19.082406,67.518609,36.400473,0,0,0,0,1671.743702,89.496728,685.812759,680.256627
0.141229,-1,108.956157,18.961906,61.223302,36.7673,0,0,0,0,0,0,0,0
0.138228,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.127994,-1,112.989516,19.216189,68.939865,36.392613,0,0,0,0,0,0,0,0
0.143962,-1,105.51245,1.354197,58.066322,41.961539,0,0,0,0,0,0,0,0
0.129264,-1,113.428322,12.984177,67.171513,40.003428,0,0,0,0,0,0,0,0
0.143312,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.133429,-1,94.441594,16.174972,65.0802,25.440783,0,0,0,0,0,0,0,0
0.141581,-1,104.987178,10.937752,54.198512,36.185404,0,0,0,0,0,0,0,0
0.13954,-1,118.053295,12.718654,60.774229,41.863664,0,0,0,0,142.361419,78.272125,105.005575,24.505441
0.137627,-1,230.574428,4.73922,82.47735,81.01586,0,0,0,0,0,0,0,0
0.142874,-1,113.602823,13.422664,61.923728,38.751058,0,0,0,0,0,0,0,0
0.137469,-1,327.146907,2.58673,134.677404,110.883975,0,0,0,0,1306.35443,76.102944,524.801973,514.987569
0.141958,-1,28.09423,3.722244,16.098616,9.137121,0,0,0,0,0,0,0,0
0.130177,-1,102.710952,18.450247,70.198311,31.55328,0,0,0,0,1480.760016,57.470549,367.133459,557.212429
0.138872,-1,108.472059,10.881001,60.588453,38.160053,0,0,0,0,0,0,0,0
0.136133,-1,110.651015,12.490604,62.457433,38.727491,0,0,0,0,0,0,0,0
0.129794,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.139384,-1,140.959996,104.380129,129.433247,11.762408,0,0,0,0,0,0,0,0
0.136976,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.13121,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.127781,-1,110.358893,6.934632,65.120927,38.94548,0,0,0,0,1605.37978,81.517673,564.161102,654.135084
0.122994,-1,112.515019,11.918284,62.146731,39.102012,0,0,0,0,850.320901,83.428522,261.716944,266.282257
0.140695,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.111722,-1,109.079333,12.143218,54.248449,36.640551,0,0,0,0,0,0,0,0
0.113205,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.143294,-1,103.700716,14.817168,59.585685,34.029229,0,0,0,0,0,0,0,0
0.140098,-1,21.877055,0.531752,7.469049,6.743263,0,0,0,0,0,0,0,0
0.127634,-1,568.758042,9.706965,267.729496,194.912554,0,0,0,0,0,0,0,0
0.139958,-1,110.619511,11.234411,55.746433,38.290504,0,0,0,0,0,0,0,0
0.140282,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.13321,-1,114.001268,12.742435,66.366295,40.641857,0,0,0,0,0,0,0,0
0.120537,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.13345,-1,-1,-1,-1,-1,0,0,0,0,882.193782,83.764401,287.25504,272.100666
0.142945,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.139294,-1,105.073086,16.348351,63.014913,34.769477,0,0,0,0,1728.781414,49.964334,647.973705,700.643621
0.134188,-1,105.790136,17.014343,60.494869,36.389579,0,0,0,0,845.110053,71.972233,253.691045,269.254877
0.142435,-1,113.378537,13.138898,61.834804,38.756833,0,0,0,0,0,0,0,0
0.141453,-1,109.409718,18.967048,62.397881,35.974639,0,0,0,0,0,0,0,0
0.138872,-1,34.719455,1.288411,18.580032,12.410743,0,0,0,0,0,0,0,0
0.138228,-1,104.833502,11.12921,53.976853,36.100367,0,0,0,0,0,0,0,0
0.140051,-1,115.333059,19.206915,64.045403,37.010973,0,0,0,0,0,0,0,0
0.138872,-1,108.472059,10.881001,64.817945,39.001384,0,0,0,0,0,0,0,0
0.133819,-1,112.29094,19.17706,64.16659,36.209734,0,0,0,0,413.806775,79.238916,176.540959,138.767556
0.135161,-1,111.069374,1.082629,35.847488,38.838203,0,0,0,0,2182.562628,63.70032,452.207833,774.380232
0.137376,-1,114.729538,12.308412,65.718781,40.614717,0,0,0,0,2096.118514,76.430757,767.856618,808.424069
0.141977,-1,-1,-1,-1,-1,0,0,0,0,314.513943,57.390516,139.066038,102.529293
0.139469,-1,109.650035,19.040439,67.895902,35.7031,0,0,0,0,3536.442513,48.329885,808.81297,1366.503843
0.131819,-1,110.531094,19.199382,66.798657,36.080438,0,0,0,0,0,0,0,0
0.140978,-1,61.289487,8.088665,38.267423,20.171669,0,0,0,0,0,0,0,0
0.141942,-1,108.831869,18.945727,62.5438,35.565709,0,0,0,0,0,0,0,0
0.139852,-1,111.329673,9.302301,59.960326,39.285245,0,0,0,0,0,0,0,0
0.136609,-1,119.734839,11.359358,66.195175,41.64505,0,0,0,0,1197.126943,63.625018,321.432622,439.689774
0.14033,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.140595,-1,97.446297,17.130932,51.323881,31.305752,0,0,0,0,1625.200805,118.546135,638.387855,600.122639
0.111538,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.131834,-1,110.487319,11.4315,61.214702,38.499599,0,0,0,0,0,0,0,0
0.121322,-1,-1,-1,-1,-1,0,0,0,0,2625.624152,72.560572,601.052991,913.086012
0.136977,-1,108.782711,18.951697,60.873648,37.003987,0,0,0,0,1720.656144,65.659258,640.905097,755.171042
0.141958,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.142291,-1,109.097352,12.438918,64.602054,39.251924,0,0,0,0,0,0,0,0
0.142464,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.136683,-1,-1,-1,-1,-1,0,0,0,0,186.288812,71.988547,128.235679,45.717749
0.132962,-1,-1,-1,-1,-1,0,0,0,0,1566.379035,145.744906,445.885626,504.851757
0.139329,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.130567,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.12364,-1,112.948275,19.190871,63.320117,37.259494,0,0,0,0,0,0,0,0
0.126428,-1,-1,-1,-1,-1,0,0,0,0,1111.192752,95.41189,331.741407,390.561704
0.127438,-1,-1,-1,-1,-1,0,0,0,0,1349.62971,101.409039,446.257172,460.678851
0.11854,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.141235,-1,104.369711,10.790531,57.528643,37.307952,0,0,0,0,341.506749,101.301031,215.844474,97.484316
0.137102,-1,434.936252,2.602533,170.630715,164.636773,0,0,0,0,0,0,0,0
0.137122,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138793,-1,103.581727,13.803824,60.302525,35.475729,0,0,0,0,2139.453548,87.175545,623.356939,773.08077
0.138228,-1,108.874864,11.12921,60.839104,38.340127,0,0,0,0,0,0,0,0
0.137259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.127696,-1,-1,-1,-1,-1,0,0,0,0,3149.562353,130.51428,812.806171,1171.763955
0.136713,-1,109.305501,18.977289,61.626359,36.604271,0,0,0,0,1482.892403,71.378271,510.286871,576.387679
0.135742,-1,115.063289,12.916801,57.553481,38.67647,0,0,0,0,0,0,0,0
0.136102,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.134559,-1,110.958562,11.122855,61.02362,38.718887,0,0,0,0,798.308591,60.160295,256.501625,251.779635
0.136687,-1,115.701477,19.201408,64.55298,37.556928,0,0,0,0,0,0,0,0
0.14331,-1,111.616295,14.374728,61.851278,38.091756,0,0,0,0,601.779079,32.600256,198.198191,190.459927
0.136753,-1,121.281201,19.86783,70.822159,34.748576,0,0,0,0,0,0,0,0
0.139488,-1,118.553356,19.508035,69.236021,37.807499,0,0,0,0,1192.705782,90.220758,348.325702,424.296709
0.141958,-1,108.834275,11.317539,55.52239,38.093618,0,0,0,0,0,0,0,0
0.143659,-1,134.878423,19.50434,80.066724,39.226481,0,0,0,0,0,0,0,0
0.135194,-1,117.283396,13.195063,71.820919,41.145031,0,0,0,0,279.127783,160.074895,198.871192,47.646465
0.137152,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.142932,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.134894,-1,86.87408,7.987702,28.649858,26.070262,0,0,0,0,0,0,0,0
0.129397,-1,110.689235,11.620598,65.75491,37.658941,0,0,0,0,0,0,0,0
0.137627,-1,115.05133,11.824823,62.653842,39.667344,0,0,0,0,0,0,0,0
0.134523,-1,114.515008,15.841503,62.248081,38.642705,0,0,0,0,0,0,0,0
0.138704,-1,113.130874,13.500427,74.599582,37.160047,0,0,0,0,219.503225,68.194378,165.558987,58.133605
0.132795,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138677,-1,108.558576,18.922721,65.742761,36.813211,0,0,0,0,0,0,0,0
0.14036,-1,108.602972,9.498052,57.862797,40.516721,0,0,0,0,0,0,0,0
0.134473,-1,103.811364,11.759389,53.66359,35.796624,0,0,0,0,0,0,0,0
0.137907,-1,171.35763,8.112328,69.123122,58.551111,0,0,0,0,0,0,0,0
0.135227,-1,111.805693,0.313153,59.320319,40.873142,0,0,0,0,1409.856741,118.014442,404.250405,465.781918
0.139918,-1,104.935125,13.199876,54.700074,35.956859,0,0,0,0,0,0,0,0
0.138872,-1,34.719455,1.288411,18.611067,11.609478,0,0,0,0,0,0,0,0
0.141231,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.136561,-1,57.56583,5.177791,35.824893,17.533343,0,0,0,0,0,0,0,0
0.1416,-1,-1,-1,-1,-1,0,0,0,0,755.691139,60.712245,260.433641,269.509322
0.141989,-1,105.519032,12.188013,54.918507,35.901759,0,0,0,0,0,0,0,0
0.140281,-1,112.636926,19.184878,68.783108,36.334942,0,0,0,0,0,0,0,0
0.131222,-1,128.251449,27.240597,89.372124,32.155428,0,0,0,0,0,0,0,0
0.133628,-1,111.334737,11.95127,61.041182,38.626147,0,0,0,0,0,0,0,0
0.128913,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.135687,-1,247.96125,4.228041,85.058923,88.248075,0,0,0,0,0,0,0,0
0.142894,-1,108.88964,12.522723,60.852419,37.960635,0,0,0,0,0,0,0,0
0.13377,-1,113.046877,14.398724,61.466135,38.610669,0,0,0,0,1197.339752,98.910057,496.145104,489.3896
0.136762,-1,122.363787,19.986196,72.461567,34.3712,0,0,0,0,0,0,0,0
0.136423,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.136976,-1,32.974352,5.246896,18.442369,10.236185,0,0,0,0,0,0,0,0
0.142745,-1,109.54077,7.17081,64.367758,39.848099,0,0,0,0,0,0,0,0
0.137136,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.135731,-1,-1,-1,-1,-1,0,0,0,0,459.345698,73.194157,188.565256,143.016459
0.141026,-1,109.20887,18.973853,61.308868,36.815588,0,0,0,0,0,0,0,0
0.134619,-1,112.564039,12.274547,66.65219,39.810859,0,0,0,0,458.777974,80.667543,186.126502,144.266376
0.134713,-1,104.556187,12.960964,57.109787,37.78146,0,0,0,0,207.123374,136.693127,158.784066,24.754391
0.124132,-1,109.505272,10.892376,55.095608,37.956923,0,0,0,0,0,0,0,0
0.11203,-1,114.1959,12.268783,68.460432,38.345199,0,0,0,0,0,0,0,0
0.131691,-1,54.72797,0.612168,20.525414,18.511819,0,0,0,0,0,0,0,0
0.137023,-1,111.058064,4.188057,59.7929,40.003741,0,0,0,0,0,0,0,0
0.114656,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.141515,-1,50.325495,0.528588,17.34537,15.467005,0,0,0,0,0,0,0,0
0.13243,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.141521,-1,104.958854,13.639374,54.779586,35.681873,0,0,0,0,0,0,0,0
0.144564,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138203,-1,111.009549,12.476878,66.863314,38.903294,0,0,0,0,0,0,0,0
0.125125,-1,106.210708,16.902164,64.087489,37.32132,0,0,0,0,0,0,0,0
0.108295,-1,113.784915,8.159064,63.567515,40.589278,0,0,0,0,1018.901042,70.704585,308.125472,322.644561
0.137269,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.13935,-1,117.272777,19.208348,63.469954,37.854936,0,0,0,0,0,0,0,0
0.133932,-1,113.427661,12.707044,64.812656,40.388575,0,0,0,0,0,0,0,0
0.144564,-1,4.50783,0.084539,1.51358,1.387896,0,0,0,0,0,0,0,0
0.130322,-1,102.008125,18.145258,61.651397,33.806003,0,0,0,0,419.097903,94.130181,239.77122,147.185718
0.135551,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.141682,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.142373,-1,109.531677,11.756162,55.247024,37.934738,0,0,0,0,0,0,0,0
0.12677,-1,104.423487,12.26985,53.795949,35.650728,0,0,0,0,0,0,0,0
0.142143,-1,114.306301,19.224428,64.582402,36.155175,0,0,0,0,0,0,0,0
0.140443,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.126576,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.131691,-1,110.7019,13.886908,54.383696,36.747076,0,0,0,0,0,0,0,0
0.128377,-1,113.431965,11.899136,62.704711,39.076115,0,0,0,0,0,0,0,0
0.13807,-1,-1,-1,-1,-1,0,0,0,0,1439.999949,87.589219,575.742373,588.193723
0.13807,-1,-1,-1,-1,-1,0,0,0,0,1439.999949,87.589219,626.261331,632.339494
0.131267,-1,115.822051,12.260935,67.134685,40.389002,0,0,0,0,467.801111,56.073803,194.240712,142.716212
0.138945,-1,116.958073,9.503411,63.80657,39.289276,0,0,0,0,1280.75443,87.339568,453.308134,431.921053
0.129093,-1,112.658562,12.116668,66.902508,40.019451,0,0,0,0,2271.990256,69.044994,725.898514,851.581663
0.137878,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.140908,-1,114.395876,13.613874,68.201393,37.895817,0,0,0,0,316.436358,64.165105,170.698216,107.547279
0.130647,-1,119.730555,12.664272,62.98808,40.155107,0,0,0,0,0,0,0,0
0.134616,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.140242,-1,113.538916,11.434477,62.108384,39.335001,0,0,0,0,0,0,0,0
0.136385,-1,111.529492,19.123047,67.935083,36.312262,0,0,0,0,0,0,0,0
0.141021,-1,-1,-1,-1,-1,0,0,0,0,1241.799745,99.464906,576.011946,495.60121
0.131834,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.139644,-1,117.794015,19.486958,77.636816,36.767565,0,0,0,0,0,0,0,0
0.142932,-1,106.053558,15.987227,63.936176,37.500351,0,0,0,0,0,0,0,0
0.129189,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.118063,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.131153,-1,118.394119,13.206787,66.122177,41.118514,0,0,0,0,305.830469,121.666784,191.771355,66.483248
0.131222,-1,91.374247,6.725335,39.737575,29.889225,0,0,0,0,215.866944,83.861484,147.537923,47.233026
0.130357,-1,234.236875,15.590887,89.510448,64.940789,0,0,0,0,0,0,0,0
0.142895,-1,109.388395,11.039201,60.888378,38.461166,0,0,0,0,0,0,0,0
0.143065,-1,101.160113,0.365082,48.45494,35.805442,0,0,0,0,0,0,0,0
0.139593,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.130599,-1,112.717468,11.434242,59.203737,40.950763,0,0,0,0,1708.514917,138.012512,482.051419,614.838323
0.141362,-1,-1,-1,-1,-1,0,0,0,0,432.811882,49.766141,175.624277,143.452516
0.135045,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.13789,-1,122.591003,19.809782,71.037177,34.931226,0,0,0,0,0,0,0,0
0.139926,-1,-1,-1,-1,-1,0,0,0,0,690.740167,30.673223,222.529414,238.616535
0.140712,-1,389.005905,23.984789,225.100685,114.474098,0,0,0,0,2207.249873,82.652917,616.184167,775.770655
0.137661,-1,114.774884,12.119744,62.652616,39.531385,0,0,0,0,2396.945498,80.780999,658.070624,851.652956
0.116134,-1,61.25909,3.139719,33.689373,20.351803,0,0,0,0,0,0,0,0
0.138233,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138078,-1,116.177718,12.047795,62.177927,39.482719,0,0,0,0,0,0,0,0
0.135273,-1,111.311924,12.122976,62.392636,38.634823,0,0,0,0,1211.575042,58.071592,409.169178,386.582733
0.127735,-1,93.882902,5.860547,40.500658,28.229806,0,0,0,0,0,0,0,0
0.132928,-1,-1,-1,-1,-1,0,0,0,0,2284.965072,112.925901,700.835955,775.258922
0.139711,-1,110.982742,11.217371,59.541054,39.259258,0,0,0,0,376.0847,50.812773,137.623496,121.107161
0.133542,-1,121.022589,19.868481,76.799242,33.21659,0,0,0,0,0,0,0,0
0.129193,-1,-1,-1,-1,-1,0,0,0,0,539.884847,77.337291,259.384497,170.118865
0.143165,-1,112.406935,12.569637,61.377476,38.743912,0,0,0,0,0,0,0,0
0.142416,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.143659,-1,104.192688,0.806315,49.879102,38.472999,0,0,0,0,0,0,0,0
0.104549,-1,-1,-1,-1,-1,0,0,0,0,375.766057,109.061223,221.529871,93.866944
0.141365,-1,112.943505,19.207536,64.57094,35.75389,0,0,0,0,0,0,0,0
0.135551,-1,79.196052,4.130232,34.890934,22.699851,0,0,0,0,0,0,0,0
0.136662,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.127957,-1,110.43552,11.7601,60.167603,38.691906,0,0,0,0,1862.01576,79.044268,467.33508,629.785592
0.142435,-1,111.98618,19.165278,63.943084,35.896262,0,0,0,0,0,0,0,0
0.141535,-1,111.729663,11.151782,61.812862,38.63395,0,0,0,0,0,0,0,0
0.128942,-1,46.529598,7.6819,30.851103,13.127033,0,0,0,0,0,0,0,0
0.142894,-1,50.594311,18.382282,36.913854,11.289016,0,0,0,0,0,0,0,0
0.13659,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.135274,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.144564,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.132479,-1,105.052769,10.824724,59.744438,36.067772,0,0,0,0,0,0,0,0
0.136789,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.131901,-1,115.100519,19.202643,64.060204,37.228766,0,0,0,0,0,0,0,0
0.140741,-1,112.182321,19.17397,62.806536,37.138055,0,0,0,0,0,0,0,0
0.14061,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138669,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.133487,-1,113.20173,12.322287,63.503876,38.335114,0,0,0,0,0,0,0,0
0.142254,-1,114.357635,13.321956,62.381372,38.689207,0,0,0,0,0,0,0,0
0.14242,-1,112.708094,19.198301,64.312019,35.726073,0,0,0,0,0,0,0,0
0.14274,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.133717,-1,107.826411,22.639913,64.710506,28.961167,0,0,0,0,317.858062,126.974838,186.509551,69.123264
0.138872,-1,34.719455,1.288411,18.611067,11.609478,0,0,0,0,0,0,0,0
0.131834,-1,110.487319,11.4315,61.214702,38.499599,0,0,0,0,0,0,0,0
0.138677,-1,111.852535,19.188,68.25551,36.25411,0,0,0,0,0,0,0,0
0.136464,-1,287.941786,2.850661,90.062334,97.320628,0,0,0,0,0,0,0,0
0.140361,-1,108.421005,17.600005,61.015112,36.870688,0,0,0,0,0,0,0,0
0.136177,-1,110.282615,11.682856,60.330986,38.515899,0,0,0,0,1739.104122,94.896796,681.695606,736.039494
0.127957,-1,-1,-1,-1,-1,0,0,0,0,1862.01576,79.044268,534.127192,670.215453
0.141938,-1,103.496417,13.381202,62.580476,37.374656,0,0,0,0,0,0,0,0
0.136095,-1,83.851647,3.820812,37.093941,24.316829,0,0,0,0,0,0,0,0
0.143657,-1,123.725846,19.449813,78.090254,37.560417,0,0,0,0,0,0,0,0
0.135487,-1,113.738092,14.511229,61.411301,38.443653,0,0,0,0,0,0,0,0
0.142139,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138977,-1,57.662287,1.657926,22.648415,17.516855,0,0,0,0,0,0,0,0
0.143116,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.143278,-1,129.553366,19.488338,79.112466,38.548191,0,0,0,0,0,0,0,0
0.128733,-1,-1,-1,-1,-1,0,0,0,0,227.163638,100.978416,141.659236,44.001525
0.140827,-1,18.114309,2.461426,11.430734,4.800213,0,0,0,0,316.412175,63.0447,142.604747,102.736916
0.127576,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.13756,-1,-1,-1,-1,-1,0,0,0,0,2297.83455,118.302839,718.05844,796.034545
0.14061,-1,111.74534,14.109466,55.817862,37.162362,0,0,0,0,0,0,0,0
0.133932,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.139501,-1,111.358382,12.661818,59.075705,40.510573,0,0,0,0,0,0,0,0
0.140827,-1,114.397013,29.829212,77.282508,33.120777,0,0,0,0,318.159476,63.783331,143.325992,103.309515
